title,year,rate
"All This, and Heaven Too",1940,7.7
Act of Love,1953,7.5
Flight Into Darkness,1935,7.5
Mayerling,1936,7.4
The Snake Pit,1948,7.4
The Amazing Dr. Clitterhouse,1938,7.3
Castle on the Hudson,1940,7.2
The Journey,1959,7.2
This Above All,1942,7.2
Tovarich,1937,7
Goodbye Again,1961,7
The Sisters,1938,7
Why We Fight: The Battle of Russia,1943,7
Das Lied einer Nacht,1932,7
Decision Before Dawn,1951,6.9
Anastasia,1956,6.9
Why We Fight: War Comes to America,1945,6.9
Why We Fight: The Nazis Strike,1943,6.8
Why We Fight: The Battle of China,1944,6.8
Why We Fight: Divide and Conquer,1943,6.8
Why We Fight: Prelude to War,1942,6.7
The Night of the Generals,1967,6.7
"Sorry, Wrong Number",1948,6.6
City for Conquest,1940,6.6
Five Miles to Midnight,1962,6.6
Blues in the Night,1941,6.4
Out of the Fog,1941,6.3
Confessions of a Nazi Spy,1939,6.1
Lilac,1932,6
